method,average_time,percentage
baseline,4:28:21,44.7%
baseline_zeroshot,0:33:26,5.6%
opencode_anthropic_claude-opus-4-5_10h,6:52:49,68.8%
opencode_opencode_big-pickle_10h,2:01:30,20.2%
opencode_opencode_gemini-3-pro_10h,6:03:27,60.6%
opencode_opencode_glm-4.7-free_10h,2:41:34,26.9%
opencode_opencode_gpt-5.1-codex-max_10h,0:32:56,5.5%
opencode_opencode_kimi-k2-thinking_10h,1:22:04,13.7%
opencode_opencode_minimax-m2.1-free_10h,3:43:36,37.3%
qwen3max_qwen3-max-2026-01-23_10h,2:05:45,21.0%
opencode_opencode_kimi-k2.5_10h_run2,2:32:49,25.5%
opencode_opencode_minimax-m2.5-free_10h_run2,2:59:00,29.8%
opencode_zai_glm-5_10h_run2,3:33:43,35.6%
claude_non_api_claude-sonnet-4-6_10h,6:50:01,68.3%
opencode_opencode_gemini-3.1-pro_10h_run2,4:15:06,42.5%
