agent,avg,std,n
Fable 5 (Max),0.41790020042339754,0.017411635684488593,2
GLM 5.2,0.3169951632778978,0.021390057285430034,3
GPT-5.1-Codex-Max,0.19100514033459595,0.02468424442999307,3
GPT-5.1-Codex-Max High,0.17397451298121863,0.003996548353549391,2
GPT-5.1-Codex-Max Low,0.15564808663042756,0.002359343834735715,2
GPT-5.2,0.19312670248268252,0.024910886850417202,3
GPT-5.2-Codex,0.17216386151189067,0.015883916060172795,3
GPT-5.3-Codex_High,0.17422365632432757,0.027846961228415592,3
GPT-5.3-Codex_Med,0.13479103839415504,0.007791944880237791,3
GPT-5.4-High,0.18999467296610772,0.029935755122215996,3
GPT-5.5-xHigh,0.27225022704696383,0.005587063051525981,2
GPT-5.6-Sol,0.3622736850790107,0.00215298042503992,2
Gemini-3-Pro,0.18121840110820905,0.024113035491940788,3
Gemini-3.1-Pro,0.21988640440748564,0.017972079642345127,3
Kimi K3,0.31353908410110964,0.010030631636796699,3
Opus-4.5,0.15753463645331747,0.051108667084045566,3
Opus-4.6,0.16459369790491565,0.03372318883758827,3
Opus-4.6-1M,0.1772154539201296,0.01910270173629149,3
Opus-4.7,0.28555094936357195,0.017355735138022157,3
Opus-4.8,0.3384439903928884,0.035830679724948376,2
Opus-4.8 (Max),0.3290215008587871,0.05746407503747996,2
