agent,avg_time,std_time,n
Opus-4.5,7:50:19,0:35:30,3
GPT-5.1-Codex-Max,4:03:54,0:14:49,3
GPT-5.2-Codex,2:27:58,0:09:50,3
GPT-5.2,6:04:54,0:45:06,3
Gemini-3-Pro,6:31:36,0:48:26,3
GPT-5.1-Codex-Max Low,3:49:28,0:06:03,2
GPT-5.1-Codex-Max High,5:15:41,0:12:50,2
Opus-4.6,9:32:51,0:21:05,3
GPT-5.3-Codex_Med,0:54:23,0:03:33,3
Gemini-3.1-Pro,4:16:25,0:12:30,3
GPT-5.3-Codex_High,1:40:32,0:05:24,3
GPT-5.4-High,2:03:20,0:13:30,3
Opus-4.6-1M,8:55:29,0:44:10,3
Opus-4.7,7:50:22,0:33:32,3
GPT-5.5-xHigh,5:31:14,0:31:51,2
Opus-4.8,9:11:32,0:00:48,2
Opus-4.8 (Max),8:47:30,0:17:07,2
GLM 5.2,8:13:57,0:00:50,3
Fable 5 (Max),8:26:49,0:03:42,2
Kimi Kismet (1M),7:55:57,0:18:22,2
