Agent,AvgTime,StdTime,AvgPerf,StdPerf
Opus 4.7,7:34:13,0:34:02,27.9,1.0
GPT 5.5 (xHigh),4:58:44,0:07:25,24.0,0.7
GPT 5.5 (xHigh Reprompted),9:14:31,,20.1,
Opus 4.6,9:39:42,0:22:15,16.3,3.2
Opus 4.6 (1M),8:48:04,0:56:28,17.7,1.9
Gemini 3.1 Pro,4:03:04,0:12:38,21.0,1.8
GPT-5.2,6:04:36,0:49:37,19.3,2.5
GPT-5.1 Codex Max,4:03:12,0:20:00,19.1,2.5
Gemini 3 Pro,6:35:47,0:56:30,18.1,2.4
Opus 4.5,7:52:39,0:28:02,15.8,5.1
GPT-5.2 Codex,2:25:36,0:06:48,17.2,1.6
GPT 5.3 Codex (High),1:39:07,0:04:08,17.4,2.8
GPT 5.4 (High),1:46:26,0:13:55,18.3,3.3
GPT 5.4 (High Reprompted),8:19:05,,23.4,
Sonnet 4.6,6:50:01,,14.5,
Sonnet 4.5,4:11:11,,9.9,
GLM-5,3:33:43,,13.8,
Kimi K2.5,2:32:49,,10.3,
MiniMax M2.5,2:59:00,,9.5,
