Agent,AvgTime,StdTime,AvgPerf,StdPerf
Opus 4.5,7:52:41,0:28:01,17.14,4.48
GPT 5.1 Codex Max,4:03:11,0:19:59,19.68,2.53
GPT 5.2 Codex,2:25:37,0:06:47,17.22,1.59
GPT-5.2,6:04:37,0:49:37,21.38,2.44
Gemini 3 Pro,6:35:46,0:56:31,18.12,2.41
Opus 4.6,9:39:43,0:22:16,23.16,1.8
Gemini 3.1 Pro,4:03:04,0:12:40,21.59,1.05
GPT 5.3 Codex (High),1:39:07,0:04:08,17.76,3.63
GPT 5.3 Codex (Med),0:53:38,0:03:11,13.77,0.81
GPT 5.4 (High),1:46:26,0:13:55,20.23,2.37
Opus 4.6 (1M),8:48:04,0:56:28,24.82,0.52
Opus 4.7 (xHigh),7:34:12,0:34:01,28.56,2.04
GPT 5.5 (xHigh),4:58:44,0:07:26,25.02,4.8
Opus 4.8 (High),9:16:16,0:04:44,33.8,3.29
GLM 5.2 (Max),8:21:00,0:06:14,34.29,1.71
Opus 4.8 (Max),8:55:52,0:02:56,34.08,4.45
Opus 4.5 (OpenCode),6:52:48,,17.29,
Gemini 3 Pro (OpenCode),6:03:29,,14.86,
GLM 4.7,2:41:35,,7.48,
GPT 5.1 Codex Max (OpenCode),0:32:56,,7.65,
Kimi K2 Thinking,1:22:05,,7.25,
MiniMax M2.1,3:43:37,,9.33,
Qwen3 Max,2:05:46,,7.42,
Kimi K2.5,2:32:49,,10.26,
MiniMax M2.5,2:58:59,,9.5,
GLM 5,3:33:43,,13.88,
Sonnet 4.6,6:50:02,,16.42,
GPT 5.4 (High Reprompted),8:19:05,,28.22,
GPT 5.5 (xHigh Reprompted),9:14:31,,28.35,
