Agent,AvgTime,StdTime,AvgPerf,StdPerf
GLM 5.2 (Max),8:21:00,0:06:14,34.29,1.71
Opus 4.8 (High),9:16:16,0:04:44,33.8,3.29
Opus 4.8 (Max),8:55:52,0:02:56,34.08,4.45
Opus 4.7 (xHigh),7:34:12,0:34:01,28.56,2.04
Opus 4.6,9:39:43,0:22:16,23.16,1.8
Opus 4.6 (1M),8:48:04,0:56:28,24.82,0.52
Opus 4.5,7:52:41,0:28:01,17.14,4.48
GPT 5.4 (High),1:46:26,0:13:55,20.23,2.37
GPT 5.4 (High Reprompted),8:19:05,,28.22,
GPT 5.5 (xHigh),4:58:44,0:07:26,25.02,4.8
GPT 5.5 (xHigh Reprompted),9:14:31,,28.35,
Gemini 3.1 Pro,4:03:04,0:12:40,21.59,1.05
